class,method,pc,offset,length,key,text
C,public static java.lang.String b();,601,46360,13,574924928,[Đang Login: 
di,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",128,46239,14,574924928,Setup_AutoTDLT
di,public nro.di();,63,46253,11,574924928,• Auto TDLT
di,public static {};,29,46239,14,574924928,Setup_AutoTDLT
dk,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",247,2107,15,574924928,Setup_AutoSkill
dk,public static {};,47,2107,15,574924928,Setup_AutoSkill
dl,public nro.dl();,67,19467,17,574924928,• Buff Đậu Sư Phụ
dl,public nro.dl();,277,19495,17,574924928,Chỉ số HP sư phụ:
dl,public nro.dl();,351,19512,17,574924928,Chỉ số KI sư phụ:
dl,public nro.dl();,425,19529,22,574924928,Buff đậu sau X millis:
dl,public nro.dl();,494,19551,16,574924928,• Buff Đậu Đệ Tử
dl,public nro.dl();,670,19567,16,574924928,Chỉ số HP đệ tử:
dl,public nro.dl();,744,19583,16,574924928,Chỉ số KI đệ tử:
dl,public nro.dl();,816,19599,16,574924928,Chỉ số TL đệ tử:
dm,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",339,27785,16,574924928,Setup_AttackBoss
dm,public static {};,61,27785,16,574924928,Setup_AttackBoss
dm,public nro.dm();,67,27812,20,574924928,• Lọc Thông Báo Boss
dm,public nro.dm();,233,27832,21,574924928,• Chuyển Khu Tìm Boss
dm,public nro.dm();,443,27887,15,574924928,• Tấn Công Boss
dm,public nro.dm();,619,27922,9,574924928,Tên boss:
dm,public nro.dm();,690,27931,8,574924928,HP boss:
do,public static {};,53,31249,16,574924928,Setup_FilterItem
do,public nro.do();,235,31285,26,574924928,ID item muốn bán hoặc vứt:
do,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",244,31249,16,574924928,Setup_FilterItem
dp,public nro.dp();,67,31894,6,574924928,• Xmap
dp,public static {};,29,31940,10,574924928,Setup_Xmap
dp,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",117,31940,10,574924928,Setup_Xmap
h,public boolean a(java.lang.String);,33,33750,5,574924928,skill
h,public boolean a(java.lang.String);,87,33755,39,574924928,"Đang tải dữ liệu skill, vui lòng đợi..."
h,public boolean a(java.lang.String);,437,33794,8,574924928,Ô skill 
h,public boolean a(java.lang.String);,561,33794,8,574924928,Ô skill 
h,public boolean a(java.lang.String);,913,1247,15,574924928, vào slot auto 
h,public boolean a(java.lang.String);,974,1262,17,574924928,Slot auto từ 1-10
h,public boolean a(java.lang.String);,1175,33822,10,574924928, khỏi Auto
h,public boolean a(java.lang.String);,1246,33832,19,574924928, chưa có trong Auto
h,public boolean a(java.lang.String);,1742,33911,4,574924928,tdlt
h,public boolean a(java.lang.String);,1851,33934,14,574924928,Auto TDLT: Tắt
h,public boolean a(java.lang.String);,1913,33948,14,574924928,Auto TDLT: Bật
h,public boolean a(java.lang.String);,2223,33987,10,574924928,Săn boss: 
h,public boolean a(java.lang.String);,3059,34047,15,574924928,Auto hồi sinh: 
h,public boolean a(java.lang.String);,3831,34127,15,574924928,Tấn công boss: 
h,public boolean a(java.lang.String);,4053,34147,15,574924928,Auto HS namek: 
h,public boolean a(java.lang.String);,4304,34185,12,574924928,Auto skill: 
h,public boolean a(java.lang.String);,5054,29410,5,574924928,anhat
h,public boolean a(java.lang.String);,5123,34256,14,574924928,Auto nhặt: Tắt
h,public boolean a(java.lang.String);,5184,34270,14,574924928,Auto nhặt: Bật
h,public boolean a(java.lang.String);,5316,34287,11,574924928,Auto chat: 
h,public boolean a(java.lang.String);,5816,34306,20,574924928,Auto dùng Cuồng nộ: 
h,public boolean a(java.lang.String);,6089,34341,20,574924928,Auto dùng Bổ huyết: 
h,public boolean a(java.lang.String);,6359,34376,18,574924928,Auto dùng Bổ khí: 
h,public boolean a(java.lang.String);,6628,34407,20,574924928,Auto dùng Giáp xên: 
h,public boolean a(java.lang.String);,6899,34442,19,574924928,Auto dùng Ẩn danh: 
h,public boolean a(java.lang.String);,7170,34475,22,574924928,Auto dùng Khẩu trang: 
h,public boolean a(java.lang.String);,7440,34514,18,574924928,Auto dùng Máy dò: 
h,public boolean a(java.lang.String);,7705,34549,23,574924928,Auto mở capsule kì bí: 
h,public boolean a(java.lang.String);,7877,29350,6,574924928,alogin
h,public boolean a(java.lang.String);,8167,34608,15,574924928,Về lại khu cũ: 
h,public boolean a(java.lang.String);,8637,34638,9,574924928,Tàn sát: 
h,public boolean a(java.lang.String);,9030,34658,46,574924928,Xóa tất cả vị trí quái trong danh sách tàn sát
h,public boolean a(java.lang.String);,9084,29161,4,574924928,xmap
h,public boolean a(java.lang.String);,9866,29200,6,574924928,anitem
h,public boolean a(java.lang.String);,9898,30748,10,574924928,RemoveItem
h,public boolean a(java.lang.String);,10005,34745,9,574924928,Ẩn item: 
h,public boolean a(java.lang.String);,10210,34758,15,574924928,Auto dùng Nho: 
h,public boolean a(java.lang.String);,10415,34776,18,574924928,Auto dùng Porata: 
h,public boolean a(java.lang.String);,10541,29524,6,574924928,xindau
h,public boolean a(java.lang.String);,10620,34794,14,574924928,Auto xin đậu: 
h,public boolean a(java.lang.String);,10746,29530,6,574924928,chodau
h,public boolean a(java.lang.String);,10823,34808,14,574924928,Auto cho đậu: 
h,public boolean a(java.lang.String);,10948,29536,6,574924928,thudau
h,public boolean a(java.lang.String);,11026,34822,14,574924928,Auto thu đậu: 
h,public boolean a(java.lang.String);,11677,34880,14,574924928,Auto kaioken: 
h,public boolean a(java.lang.String);,11879,34894,23,574924928,Chuyển khu tránh boss: 
h,public boolean a(java.lang.String);,12091,34917,18,574924928,"Khoá vị trí:
Map: "
h,public boolean a(java.lang.String);,12364,34967,25,574924928,Auto tái tạo năng lượng: 
h,public boolean a(java.lang.String);,12563,34994,12,574924928,Focus boss: 
h,public boolean a(java.lang.String);,12690,35006,7,574924928,additem
h,public boolean a(java.lang.String);,12821,1577,17,574924928,Đã cập nhật item 
h,public boolean a(java.lang.String);,12853,1594,9,574924928, vào auto
h,public boolean a(java.lang.String);,12908,35013,36,574924928,Sai định dạng! (additem id effectId)
h,public boolean a(java.lang.String);,12957,35049,11,574924928,Lỗi additem
h,public boolean a(java.lang.String);,13006,35060,7,574924928,delitem
h,public boolean a(java.lang.String);,13317,1629,10,574924928,ItemConfig
h,public boolean a(java.lang.String);,13361,35067,12,574924928,Đã xóa item 
h,public boolean a(java.lang.String);,13393,35079,10,574924928, khỏi auto
h,public boolean a(java.lang.String);,13441,35089,20,574924928,Không tìm thấy item 
h,public boolean a(java.lang.String);,13480,35109,27,574924928,Sai định dạng! (delitem id)
h,public boolean a(java.lang.String);,13510,35136,11,574924928,Lỗi delitem
h,public boolean a(java.lang.String);,13537,35147,8,574924928,listitem
h,public boolean a(java.lang.String);,13576,35155,25,574924928,Danh sách auto item trống
h,public boolean a(java.lang.String);,13612,35180,11,574924928,Auto item: 
h,public boolean a(java.lang.String);,13703,35194,15,574924928,Auto nhiệm vụ: 
h,public static void w();,105,1347,16,574924928,DistanceAutoPick
h,public static void w();,136,1347,16,574924928,DistanceAutoPick
h,public static void w();,447,1477,9,574924928,DelayXmap
h,public static void w();,479,1477,9,574924928,DelayXmap
h,public static void w();,515,1433,10,574924928,DelayLogin
h,public static void w();,548,1433,10,574924928,DelayLogin
h,public static void w();,584,1629,10,574924928,ItemConfig
h,public static void w();,617,1629,10,574924928,ItemConfig
h,public boolean c(java.lang.String);,413,1379,21,574924928,Khoảng cách tàn sát: 
h,public boolean c(java.lang.String);,663,1329,18,574924928,Khoảng cách nhặt: 
h,public boolean c(java.lang.String);,718,1347,16,574924928,DistanceAutoPick
h,public boolean c(java.lang.String);,1070,35215,19,574924928,Di chuyển Kaioken: 
h,public boolean c(java.lang.String);,1482,35240,9,574924928,PaintBoss
h,public boolean c(java.lang.String);,1590,35249,16,574924928,Thông báo boss: 
h,public boolean c(java.lang.String);,1814,35274,25,574924928,Người và boss trong map: 
h,public boolean c(java.lang.String);,2038,35307,18,574924928,Thông tin sư phụ: 
h,public boolean c(java.lang.String);,2262,35332,17,574924928,Thông tin đệ tử: 
i,public void a(int[]);,311,35395,13,574924928,XMAP - BẢN ĐỒ
i,public static void x();,277,35508,29,574924928,Hãy hoàn thành nhiệm vụ trước
i,public void F();,164,35545,16,574924928,XMAP - HÀNH TINH
i,public void G();,568,35545,16,574924928,XMAP - HÀNH TINH
j,public static void N();,1044,1195,9,574924928,thach dau
j,public static void Y();,588,1204,8,574924928,nhiệm vụ
j,public static void Y();,633,1212,8,574924928,nhiem vu
n,public static boolean e(java.lang.String);,460,1247,15,574924928, vào slot auto 
n,public static boolean e(java.lang.String);,519,1262,17,574924928,Slot auto từ 1-10
n,public static boolean e(java.lang.String);,724,1329,18,574924928,Khoảng cách nhặt: 
n,public static boolean e(java.lang.String);,779,1347,16,574924928,DistanceAutoPick
n,public static boolean e(java.lang.String);,997,1379,21,574924928,Khoảng cách tàn sát: 
n,public static boolean e(java.lang.String);,1268,1418,13,574924928,Delay login: 
n,public static boolean e(java.lang.String);,1348,1433,10,574924928,DelayLogin
n,public static boolean e(java.lang.String);,1636,1465,12,574924928,Delay xmap: 
n,public static boolean e(java.lang.String);,1717,1477,9,574924928,DelayXmap
n,public static boolean e(java.lang.String);,2533,1577,17,574924928,Đã cập nhật item 
n,public static boolean e(java.lang.String);,2567,1594,9,574924928, vào auto
n,public static boolean e(java.lang.String);,2626,1603,26,574924928,Đã cập nhật danh sách item
n,public static boolean e(java.lang.String);,2666,1629,10,574924928,ItemConfig
n,public static boolean e(java.lang.String);,2719,1639,16,574924928,Danh sách item: 
n,public static boolean e(java.lang.String);,2771,1629,10,574924928,ItemConfig
n,public static {};,61,1695,14,574924928,Sức mạnh đệ tử
n,public static {};,77,1709,10,574924928,Delay xmap
n,public static {};,93,1719,11,574924928,Delay login
n,public static {};,109,1730,14,574924928,Danh sách item
n,public static {};,125,1744,16,574924928,Khoảng cách nhặt
n,public static {};,141,1760,19,574924928,Khoảng cách tàn sát
o,"public static int a(nro.bF, int, int);",240,38000,12,574924928,SM Sư phụ: +
o,"public static int a(nro.bF, int, int);",382,38021,12,574924928,Vàng nhặt: +
o,"public static int a(nro.bF, int, int);",609,38033,11,574924928,SM Đệ tử: +
p,public static void b(nro.bF);,295,39225,12,574924928,Chat Command
u,public static {};,56,35240,9,574924928,PaintBoss
u,public static void d(nro.bF);,81,45284,9,574924928,] - Khu: 
u,public static void d(nro.bF);,505,45299,7,574924928,Tàn sát
u,public static void d(nro.bF);,569,45299,7,574924928,Tàn sát
u,public static void d(nro.bF);,667,45306,8,574924928,[Sư phụ]
u,public static void d(nro.bF);,1542,45336,7,574924928,[Đệ tử]
w,public static {};,16,45349,8,574924928,ListBoss
w,public static void aw();,216,45357,10,574924928,Xmap đến: 
w,public static void aw();,283,45367,22,574924928,Không tìm thấy ID Map!
w,public static void f(java.lang.String);,38,45389,4,574924928,boss
w,public static java.lang.String[] a(java.lang.String);,89,45402,5,574924928,boss 
w,public static java.lang.String[] a(java.lang.String);,256,45402,5,574924928,boss 
w,public static java.lang.String[] a(java.lang.String);,391,45402,5,574924928,boss 
w,public static void g(java.lang.String);,38,45389,4,574924928,boss
x,public static void ay();,453,45982,10,574924928, trong map
